giro      Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]       NA     NA     NA
 [3,]       NA     NA     NA
 [4,]       NA     NA     NA
 [5,]       NA     NA     NA
 [6,]       NA     NA     NA
 [7,]       NA     NA     NA
 [8,]       NA     NA     NA
 [9,]       NA 102951     NA
[10,]   101563 101495 104534
[11,]   100807 101204 102035
[12,]    99358 100669 100900
[13,]    99388 100420  99513
[14,]    99353  99979  99117
[15,]    98124  99724  98659
[16,]    98730  99261  98529
[17,]    98895  98941  99188
[18,]    98977  99526  99975
[19,]    98556  98907  98071
[20,]    98514  98232  98114
[21,]    98485  98362  98260
[22,]    97560  98161  98317
[23,]    97644  97505  98473
[24,]    97785  97811  98845
[25,]    97879  98098  99108
[26,]    98098  98108  98252
[27,]    98093  97980  97827
[28,]    97451  98018  98054
[29,]    97484  98579  97909
[30,]    97596  97499  97927
[31,]    98538  97854  97872
[32,]    96711  98225  97952
[33,]    98163  97902  99355
[34,]    97717 102847  99243
[35,]    97307     NA 103874
[36,]   101641  96792     NA
[37,]       NA  96393  96177
[38,]    97123  96872  95912
[39,]    96673  97021  96588
[40,]    96727  95423  96066
[41,]    95798  95614  95849
[42,]    96081  95739  96092
[43,]    95705  95670  97879
[44,]    95378  96051  96610
[45,]    95583  95599  96965
[46,]    95521  95978  96170
[47,]    96036  95728  95935
[48,]    96049  95647  95850
[49,]    95892  95632  96524
[50,]    95819  95711  96804
[51,]    95894  95727  96197
[52,]    95957  95672  96553
[53,]    96643  95707  96247
[54,]    95657  95974  96359
[55,]    96139  96287  96776
[56,]    96747  96144  96950
