giro     Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]       NA     NA     NA
 [3,]       NA     NA     NA
 [4,]   100453  99564  99000
 [5,]    99960  99054  99061
 [6,]    99533  99202  99081
 [7,]    99878  99265  98847
 [8,]    99801  99263  98878
 [9,]    99482  99096  98706
[10,]    99130  99027  98916
[11,]    99394  99325  98971
[12,]    99309  98952  98819
[13,]    99204  99059  99008
[14,]    99871  98972  98865
[15,]   100098  99357  98760
[16,]    99449  98629  98850
[17,]    98610  98519  98404
[18,]    98398  98639  98400
[19,]    98837  98892  98350
[20,]    98883  98744  98372
[21,]    98827  98580  98796
[22,]    98534  98398  98416
[23,]    99218  98197  98687
[24,]    99203  98311  99077
[25,]    98972  98447  99248
[26,]    99089  99321 100024
[27,]    98869  99334     NA
[28,]    98913  99192     NA
[29,]    99685  98828  98171
[30,]       NA  98291  98208
[31,]       NA  98347  98160
[32,]    99233  98306  98704
[33,]    99283  98553  99169
[34,]    98899     NA  98426
[35,]    98703     NA  97978
[36,]    98617  97699  98041
[37,]    98662  97565  97856
[38,]    98588  98214  99193
[39,]    98711  97692  98493
[40,]    98707  98067  98473
[41,]    99035  98431  98776
[42,]    99323  98683  98754
[43,]    98594  98217  98197
[44,]    98605  98735  98236
[45,]    98631  97630  97815
[46,]    98554  97373  97794
[47,]    98614  97897  97793
[48,]    98927  97329  97576
[49,]    98975  97312  97367
[50,]    98921  97493  97742
[51,]    99418  97832  97980
[52,]       NA  98728  98871
