giro Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]       NA  70149  70250
 [3,]    71197  70098  69940
 [4,]    71146  69564  69539
 [5,]    70596  70325  69379
 [6,]    70020  69468  69138
 [7,]    70401  69299  69024
 [8,]    69930  69367  69019
 [9,]    69909  69613  69093
[10,]    69449  69600  69000
[11,]    69629  69212  69181
[12,]    69235  69431  69176
[13,]    69275  69149  69304
[14,]    69356  69275  69138
[15,]    69249  69097  69207
[16,]    69346  69513  69098
[17,]    69058  69222  69159
[18,]    69499  69570  69039
[19,]    69359  69476  69782
[20,]    69312  69267  69138
[21,]    69215  69590  68989
[22,]    69900  69487  68959
[23,]    69662  69510  69075
[24,]    69486  69365  68777
[25,]    69341  69144  69248
[26,]    69452  69177  69216
[27,]    69015  69343  69155
[28,]    69448  69123  69301
[29,]    69546  69404  69363
[30,]    69279  69659  69211
[31,]       NA  69333  69406
[32,]       NA  69256  69359
[33,]    67867  69242  69189
[34,]    68660     NA  69237
[35,]    69074     NA  69133
[36,]    68654  68260  68914
[37,]    68823  68633  69667
[38,]    68914  68435  69046
[39,]    68530  68474  68909
[40,]    68586  68626  69103
[41,]    68289  68490     NA
[42,]    68354  68846     NA
[43,]    68379  68434  68596
[44,]    69369  69698  67938
[45,]    68807  68469  68562
[46,]    68863  68652  68514
[47,]    68600  68403  68550
[48,]    68535  68030  68271
[49,]    68309  67911  68093
[50,]    68363  67713  67850
[51,]    68236  67965  67847
[52,]    68265  67802  68139
[53,]    68155  68341  68164
[54,]    67801  67896  68371
[55,]    67840  68151  68288
[56,]    67840  68089  68280
[57,]    67780  68538  67982
[58,]    67608  68113  67893
[59,]    67571  67831  68249
[60,]    67675  67827  68163
[61,]    67511  67706  68155
[62,]    67715  67988  68022
[63,]    68096  68076  68245
[64,]    67880  67794  68077
[65,]    67424  68026  68133
[66,]    67647  68029  67970
[67,]    67543  67574  68315
[68,]    67503  68461  68455
[69,]    67411  67496  67955
[70,]    68531  67971  68095
[71,]    68781  68358  68391
