 giro Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]       NA     NA     NA
 [3,]       NA     NA     NA
 [4,]       NA     NA     NA
 [5,]    93079  95141  96441
 [6,]    93364  94437  94998
 [7,]    93197  94054  94013
 [8,]    93612  94463  94275
 [9,]    93422  94299  93967
[10,]    93389  94201  93906
[11,]    93124  93848  94153
[12,]    92895  94098  94245
[13,]    92504  94730  93989
[14,]    93433  94655  93964
[15,]    93228  94113  94088
[16,]    93174  93310  93485
[17,]    92877  94070  93745
[18,]    92360  93246  94003
[19,]    92456     NA  93098
[20,]    92286  92225  92966
[21,]    92304  92463  92377
[22,]    92190  92308  92231
[23,]    92437  92634  92166
[24,]    93098  92329  92194
[25,]    92410  92178  92201
[26,]       NA  92138  93519
[27,]    91529  92162  92458
[28,]    92255  92149  92780
[29,]    91858  92731  92552
[30,]    92745  92842  92998
[31,]    91771  92714  92971
[32,]    92644  92369  92286
[33,]    92857  92281     NA
[34,]    92717  92258  91122
[35,]    92865  92020  91059
[36,]    92578  91970  91687
[37,]    92038  91955  91853
[38,]    91421  91872  91583
[39,]    91743  92187  92076
[40,]    92214  92335  91916
[41,]    91779  93079  92073
[42,]    92162  93497  92924
[43,]    92340  94260  92335
[44,]    92637  94161  91077
[45,]    92640  94049  91007
[46,]    91873  93398  90905
[47,]    91096  93862  91322
[48,]       NA  94390  90964
[49,]    92749  95029  94305
[50,]       NA     NA  94407
[51,]       NA     NA  94613
