giro    Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]    97867 100263  98722
 [3,]    97387  99306  98795
 [4,]    98306  98658  98346
 [5,]    97486  99496  97870
 [6,]    97723  98969  97953
 [7,]    97202  99639  98106
 [8,]    97055  98901  98346
 [9,]    97172  98178 100266
[10,]    97642  97933  98533
[11,]    97481  98296  98346
[12,]    96849  97104  98318
[13,]    97139  97300  97817
[14,]    97192  96732  97720
[15,]    96876  96483  97956
[16,]    96868  96545  97555
[17,]    97273  96818  97734
[18,]    96870  96600  97342
[19,]    96436  97233  97284
[20,]    96336  97144  97362
[21,]    96394  96383  97386
[22,]    96901  96558  97533
[23,]    96751  96867  97553
[24,]    97077  96916  97515
[25,]    97044  97363  97528
[26,]       NA  98071  98104
[27,]       NA 101534  97990
[28,]    94723     NA 100773
[29,]    94769  94500     NA
[30,]    95579  94433  96121
[31,]    95671  94689  96141
[32,]    95856  94584  95717
[33,]    95950  94633  95582
[34,]    95603  94371  95353
[35,]    95711  94342  95455
[36,]    95772  94532  95609
[37,]    95943  94810  95767
[38,]    95980  94311  95360
[39,]    95948  94218  95900
[40,]    95198  94222  95591
[41,]    95681  94080  95540
[42,]    95218  94479  95517
[43,]    95100  94867  95510
[44,]    95505  94561  95284
[45,]    95349  94386  95502
[46,]    94860  94802  95631
[47,]    94574  95555  95532
[48,]    94452  95630  95668
[49,]    94590  95654  96134
[50,]    94957  95421  96191
[51,]    95398  95375  96317
[52,]    95431  96279  96800
[53,]    95209  96365  96038
[54,]    95342  97454  96020
[55,]    95960  99368  97511
[56,]    96932 101345  98047
