     Hamilton Vettel Bottas
 [1,]       NA     NA     NA
 [2,]   103405 103632 103166
 [3,]   103246 103689 103353
 [4,]   103137 103422 103360
 [5,]   103127 103319 103011
 [6,]   103142 103156 102826
 [7,]   103050 103198 102825
 [8,]   102942 103019 102861
 [9,]   102980 103288 102988
[10,]   102698 103045 102770
[11,]   102741 102757 102522
[12,]   102532 103002 102634
[13,]   103237 103293 102947
[14,]   102789 102932 102706
[15,]   102615 102995 102822
[16,]   102505 102945 102457
[17,]   102519 103008 102547
[18,]   102797 102888 102475
[19,]   102537 102923 102439
[20,]   102604     NA 102559
[21,]   102421     NA     NA
[22,]   102753 103806     NA
[23,]   102625 103191 103054
[24,]       NA 103229 102204
[25,]       NA 102945 102296
[26,]   101734 103037 102448
[27,]   102220 102781 102091
[28,]   102202 102636 102229
[29,]   102832 102623 102852
[30,]   102979 102881 102676
[31,]   102599 103238 102394
[32,]   102338 102983 102236
[33,]   102243 103330 102317
[34,]   102389 103414 102790
[35,]   102299 103125 102142
[36,]   101964 102884 102043
[37,]   101928 102531 101867
[38,]   101939 102191 101942
[39,]   101988 102423 102218
[40,]   102012 102291 101811
[41,]   101722 102249 101577
[42,]   101605 101959 101406
[43,]   101938 102182 101965
[44,]   101974 102316 102316
[45,]   101712 101842 101576
[46,]   101621 101985 101766
[47,]   101563 101849 101533
[48,]   101831 101812 101907
[49,]   102295 101545 102396
[50,]   101628 101244 101522
[51,]   101473 101668     NA
[52,]   101752 101243     NA
[53,]   102487 101222 101007
[54,]   102185 102292 102045
[55,]   103780     NA     NA
