Hamilton Vettel Bottas
116558 90846 85940 
108341 110130 81919 
82149 82093 81997 
82223 81800 81796 
81892 82545 81579 
81856 82305 81929 
82368 83307 81575 
82168 82622 81548 
82810 83270 81636 
82031 83667 81843 
82271 83335 81576 
81873 84329 81404 
81978 82262 81403 
82215 82463 81026 
82253 83212 81217 
82584 82588 81136 
82841 82910 81045 
82981 81278 80860 
83007 81779 81359 
83615 82685 81087 
84413 81654 81457 
83267 82630 81573 
84123 81845 81676 
83582 82370 82002 
83839 82616 81949 
83934 83186 81424 
82146 83316 81605 
83220 83188 81198 
81010 81954 81862 
81517 80698 81093 
97536 82811 81371 
122404 113338 94198 
80679 101759 123061 
81471 80116 80661 
80006 80246 80527 
81333 81196 80912 
80175 79792 81307 
80696 80384 80719 
80846 79997 80951 
81851 79938 81390 
81756 79873 80900 
80628 80034 80952 
81438 80078 81003 
82298 79990 80999 
80461 80042 80460 
80703 80057 80211 
80354 79899 80515 
80418 80199 80697 
80494 80404 80504 
80650 80689 80833 
80969 80126 80487 
80241 80153 80871 
80719 80530 80749 
80443 79516 80314 
80793 80288 80401 
80442 81424 80464 
80297 79214 80485 
80036 80785 79933 
80671 80278 79872 
81555 79962 80120 
81428 80142 80345 
81864 79812 80329 
81464 79750 80012 
81452 79910 79801 
82464 80176 79883 
80959 80181 80084 
83135 80091 80334 
80634 78785 80137 
79945 80265 80041 
80703 79876 79374 
0 81641 80309 
